characterID,character name,movieID
u0,BIANCA,m0
u1,BRUCE,m0
u2,CAMERON,m0
u3,CHASTITY,m0
u4,JOEY,m0
u5,KAT,m0
u6,MANDELLA,m0
u7,MICHAEL,m0
u8,MISS PERKY,m0
u9,PATRICK,m0
u10,SHARON,m0
u11,WALTER,m0
u12,ALONSO,m1
u13,AROJAZ,m1
u14,BEATRIX,m1
u15,BOBADILLA,m1
u16,COLUMBUS,m1
u17,FERNANDO,m1
u18,ISABEL,m1
u19,MARCHENA,m1
u20,MENDEZ,m1
u21,MOXICA,m1
u22,PINZON,m1
u23,SAILOR,m1
u24,SANCHEZ,m1
u25,UTAPAN,m1
u26,CUTLER,m2
u27,DAPHNE,m2
u28,DUFFY,m2
u29,EDDIE,m2
u30,EMIL,m2
u31,HAWKINS,m2
u32,HONEY,m2
u33,IMMIGRATION OFFICER,m2
u34,JORDY,m2
u35,KORFIN,m2
u36,LEON,m2
u37,MAGGIE,m2
u38,MAX,m2
u39,MILOS,m2
u40,MUGGER,m2
u41,NICOLETTE,m2
u42,OLEG,m2
u43,ROBERT HAWKINS,m2
u44,ROSE,m2
u45,SECONDARY OFFICER,m2
u46,STEPHEN GELLER,m2
u47,TOMMY,m2
u48,VENDOR,m2
u49,B20,m3
u50,BOWMAN,m3
u51,C12,m3
u52,CHILD,m3
u53,CO-PILOT,m3
u54,ELENA,m3
u55,FLOYD,m3
u56,HAL,m3
u57,MICHAELS,m3
u58,MILLER,m3
u59,PILOT,m3
u60,POOLE,m3
u61,SMYSLOV,m3
u62,ATTENDANT,m4
u63,BARTENDER,m4
u64,BILLY,m4
u65,CANDY,m4
u66,CASEY,m4
u67,CATES,m4
u68,ELAINE,m4
u69,GANZ,m4
u70,HADEN,m4
u71,HAMMOND,m4
u72,HENRY,m4
u73,KEHOE,m4
u74,LISA,m4
u75,LUTHER,m4
u76,SOSNA,m4
u77,YOUNG COP,m4
u78,CORNELIUS,m5
u79,DAVID,m5
u80,DIVA,m5
u81,FINGER,m5
u82,GIRL,m5
u83,KOMMANDER,m5
u84,KORBEN,m5
