movieID,movie title,genres
m0,10 things i hate about you,['comedy' 'romance']
m1,1492: conquest of paradise,['adventure' 'biography' 'drama' 'history']
m2,15 minutes,['action' 'crime' 'drama' 'thriller']
m3,2001: a space odyssey,['adventure' 'mystery' 'sci-fi']
m4,48 hrs.,['action' 'comedy' 'crime' 'drama' 'thriller']
m5,the fifth element,['action' 'adventure' 'romance' 'sci-fi' 'thriller']
m6,8mm,['crime' 'mystery' 'thriller']
m7,a nightmare on elm street 4: the dream master,['fantasy' 'horror' 'thriller']
m8,a nightmare on elm street: the dream child,['fantasy' 'horror' 'thriller']
m9,the atomic submarine,['sci-fi' 'thriller']
m10,affliction,['drama' 'mystery' 'thriller']
m11,air force one,['action' 'drama' 'thriller']
m12,airplane ii: the sequel,['comedy' 'romance' 'sci-fi']
m13,airplane!,['comedy' 'romance']
m14,alien nation,['crime' 'drama' 'sci-fi' 'thriller']
m15,aliens,['action' 'sci-fi' 'thriller']
m16,amadeus,['biography' 'drama' 'music']
m17,an american werewolf in london,['horror' 'romance']
m18,american madness,['drama']
m19,american outlaws,['action' 'western']
m20,american psycho,['drama' 'thriller']
m21,antitrust,['drama' 'thriller']
m22,austin powers: international man of mystery,['action' 'adventure' 'comedy' 'crime']
m23,the avengers,['action' 'adventure' 'thriller']
m24,bachelor party,['comedy' 'romance']
m25,backdraft,['action' 'crime' 'drama' 'mystery' 'thriller']
m26,bad lieutenant,['crime' 'drama']
m27,bamboozled,['comedy' 'drama' 'music']
m28,barry lyndon,['drama' 'romance' 'war']
m29,basic,['crime' 'drama' 'mystery' 'thriller']
m30,big fish,['adventure' 'drama' 'fantasy']
m31,birthday girl,['comedy' 'crime' 'romance' 'thriller']
m32,black snake moan,['drama']
m33,black rain,['action' 'crime' 'drama' 'thriller']
m34,blade runner,['drama' 'sci-fi' 'thriller']
m35,blast from the past,['comedy' 'drama' 'romance']
m36,blue velvet,['crime' 'mystery' 'thriller']
m37,the boondock saints,['action' 'crime' 'drama' 'thriller']
m38,bottle rocket,['comedy' 'crime']
